Frame,Visibility,X,Y,Time,Hit
0,0,0,0,00:00:00.0,0
1,0,0,0,00:00:00.03333333333333333,0
2,0,0,0,00:00:00.06666666666666667,0
3,0,0,0,00:00:00.1,0
4,0,0,0,00:00:00.13333333333333333,0
5,0,0,0,00:00:00.16666666666666666,0
6,0,0,0,00:00:00.2,0
7,0,0,0,00:00:00.23333333333333334,0
8,0,0,0,00:00:00.26666666666666666,0
9,0,0,0,00:00:00.3,0
10,0,0,0,00:00:00.3333333333333333,0
11,1,702,292,00:00:00.36666666666666664,0
12,1,707,260,00:00:00.4,0
13,1,716,235,00:00:00.43333333333333335,0
14,1,721,215,00:00:00.4666666666666667,0
15,1,721,213,00:00:00.5,0
16,1,726,196,00:00:00.5333333333333333,0
17,1,731,182,00:00:00.5666666666666667,0
18,1,736,170,00:00:00.6,0
19,1,741,160,00:00:00.6333333333333333,0
20,1,743,151,00:00:00.6666666666666666,0
21,1,745,152,00:00:00.7,0
22,1,746,146,00:00:00.7333333333333333,0
23,1,751,141,00:00:00.7666666666666666,0
24,1,753,138,00:00:00.8,0
25,1,757,136,00:00:00.8333333333333334,0
26,1,761,136,00:00:00.8666666666666667,0
27,1,761,136,00:00:00.9,0
28,1,765,136,00:00:00.9333333333333333,0
29,1,767,138,00:00:00.9666666666666667,0
30,1,771,142,00:00:01.0,0
31,1,773,146,00:00:01.0333333333333332,0
32,1,776,153,00:00:01.0666666666666667,0
33,1,776,152,00:00:01.1,0
34,1,780,158,00:00:01.1333333333333333,0
35,1,781,166,00:00:01.1666666666666667,0
36,1,785,175,00:00:01.2,0
37,1,787,183,00:00:01.2333333333333334,0
38,1,791,193,00:00:01.2666666666666666,0
39,1,791,193,00:00:01.3,0
40,1,792,206,00:00:01.3333333333333333,0
41,1,796,216,00:00:01.3666666666666667,0
42,1,796,227,00:00:01.4,0
43,1,798,240,00:00:01.4333333333333333,0
44,1,810,201,00:00:01.4666666666666666,1
45,1,810,200,00:00:01.5,0
46,1,820,156,00:00:01.5333333333333332,0
47,1,826,121,00:00:01.5666666666666667,0
48,1,831,91,00:00:01.6,0
49,1,836,68,00:00:01.6333333333333333,0
50,1,842,48,00:00:01.6666666666666667,0
51,1,841,50,00:00:01.7,0
52,1,846,32,00:00:01.7333333333333334,0
53,1,851,18,00:00:01.7666666666666666,0
54,1,855,7,00:00:01.8,0
55,1,856,3,00:00:01.8333333333333333,0
56,0,0,0,00:00:01.8666666666666667,0
57,0,0,0,00:00:01.9,0
58,0,0,0,00:00:01.9333333333333333,0
59,0,0,0,00:00:01.9666666666666666,0
60,0,0,0,00:00:02.0,0
61,0,0,0,00:00:02.033333333333333,0
62,0,0,0,00:00:02.0666666666666664,0
63,0,0,0,00:00:02.1,0
64,0,0,0,00:00:02.1333333333333333,0
65,0,0,0,00:00:02.1666666666666665,0
66,0,0,0,00:00:02.2,0
67,1,875,5,00:00:02.2333333333333334,0
68,1,876,11,00:00:02.2666666666666666,0
69,1,876,11,00:00:02.3,0
70,1,876,21,00:00:02.3333333333333335,0
71,1,876,32,00:00:02.3666666666666667,0
72,1,876,46,00:00:02.4,0
73,1,876,61,00:00:02.433333333333333,0
74,1,876,76,00:00:02.466666666666667,0
75,1,876,76,00:00:02.5,0
76,1,876,93,00:00:02.533333333333333,0
77,1,876,111,00:00:02.5666666666666664,0
78,1,876,128,00:00:02.6,0
79,1,876,151,00:00:02.6333333333333333,0
80,1,876,171,00:00:02.6666666666666665,0
81,1,876,168,00:00:02.7,0
82,1,876,191,00:00:02.7333333333333334,0
83,1,876,216,00:00:02.7666666666666666,0
84,1,876,236,00:00:02.8,0
85,1,876,260,00:00:02.8333333333333335,0
86,1,873,286,00:00:02.8666666666666667,0
87,1,873,283,00:00:02.9,0
88,1,873,311,00:00:02.933333333333333,0
89,1,873,335,00:00:02.966666666666667,0
90,1,872,360,00:00:03.0,0
91,1,872,383,00:00:03.033333333333333,0
92,1,871,408,00:00:03.0666666666666664,0
93,0,0,0,00:00:03.1,0
94,0,0,0,00:00:03.1333333333333333,0
95,1,870,460,00:00:03.1666666666666665,0
96,0,0,0,00:00:03.2,0
97,0,0,0,00:00:03.2333333333333334,0
98,0,0,0,00:00:03.2666666666666666,0
99,0,0,0,00:00:03.3,0
100,0,0,0,00:00:03.3333333333333335,0
101,0,0,0,00:00:03.3666666666666667,0
102,0,0,0,00:00:03.4,0
103,1,868,660,00:00:03.433333333333333,0
104,1,870,666,00:00:03.466666666666667,0
105,1,870,665,00:00:03.5,0
106,1,872,661,00:00:03.533333333333333,0
107,1,870,661,00:00:03.5666666666666664,0
108,0,0,0,00:00:03.6,0
109,0,0,0,00:00:03.6333333333333333,0
110,0,0,0,00:00:03.6666666666666665,0
111,0,0,0,00:00:03.6999999999999997,0
112,0,0,0,00:00:03.7333333333333334,0
113,0,0,0,00:00:03.7666666666666666,0
114,0,0,0,00:00:03.8,0
115,0,0,0,00:00:03.8333333333333335,0
116,0,0,0,00:00:03.8666666666666667,0
117,0,0,0,00:00:03.9,0
118,0,0,0,00:00:03.933333333333333,0
119,0,0,0,00:00:03.966666666666667,0
120,0,0,0,00:00:04.0,0
121,0,0,0,00:00:04.033333333333333,0
122,0,0,0,00:00:04.066666666666666,0
123,0,0,0,00:00:04.1,0
124,0,0,0,00:00:04.133333333333333,0
125,0,0,0,00:00:04.166666666666667,0
126,1,711,453,00:00:04.2,0
127,0,0,0,00:00:04.233333333333333,0
128,0,0,0,00:00:04.266666666666667,0
129,0,0,0,00:00:04.3,0
130,0,0,0,00:00:04.333333333333333,0
131,0,0,0,00:00:04.366666666666666,0
132,0,0,0,00:00:04.4,0
133,0,0,0,00:00:04.433333333333334,0
134,0,0,0,00:00:04.466666666666667,0
135,0,0,0,00:00:04.5,0
136,0,0,0,00:00:04.533333333333333,0
137,0,0,0,00:00:04.566666666666666,0
138,0,0,0,00:00:04.6,0
139,0,0,0,00:00:04.633333333333333,0
140,0,0,0,00:00:04.666666666666667,0
141,0,0,0,00:00:04.7,0
142,0,0,0,00:00:04.733333333333333,0
143,0,0,0,00:00:04.766666666666667,0
144,0,0,0,00:00:04.8,0
145,0,0,0,00:00:04.833333333333333,0
146,0,0,0,00:00:04.866666666666666,0
147,0,0,0,00:00:04.9,0
148,0,0,0,00:00:04.933333333333334,0
149,0,0,0,00:00:04.966666666666667,0
