Frame,Visibility,X,Y,Time
0,0,0,0,00:00:00.0
1,0,0,0,00:00:00.03333333333333333
2,0,0,0,00:00:00.06666666666666667
3,0,0,0,00:00:00.1
4,0,0,0,00:00:00.13333333333333333
5,0,0,0,00:00:00.16666666666666666
6,0,0,0,00:00:00.2
7,0,0,0,00:00:00.23333333333333334
8,0,0,0,00:00:00.26666666666666666
9,0,0,0,00:00:00.3
10,0,0,0,00:00:00.3333333333333333
11,0,0,0,00:00:00.36666666666666664
12,0,0,0,00:00:00.4
13,0,0,0,00:00:00.43333333333333335
14,0,0,0,00:00:00.4666666666666667
15,1,607,436,00:00:00.5
16,1,598,410,00:00:00.5333333333333333
17,1,588,392,00:00:00.5666666666666667
18,0,0,0,00:00:00.6
19,0,0,0,00:00:00.6333333333333333
20,0,0,0,00:00:00.6666666666666666
21,1,575,357,00:00:00.7
22,1,568,350,00:00:00.7333333333333333
23,1,565,343,00:00:00.7666666666666666
24,1,561,340,00:00:00.8
25,1,560,338,00:00:00.8333333333333334
26,1,557,337,00:00:00.8666666666666667
27,1,553,337,00:00:00.9
28,1,551,338,00:00:00.9333333333333333
29,1,550,340,00:00:00.9666666666666667
30,1,546,342,00:00:01.0
31,1,547,342,00:00:01.0333333333333332
32,0,0,0,00:00:01.0666666666666667
33,0,0,0,00:00:01.1
34,1,541,358,00:00:01.1333333333333333
35,1,540,367,00:00:01.1666666666666667
36,0,0,0,00:00:01.2
37,0,0,0,00:00:01.2333333333333334
38,0,0,0,00:00:01.2666666666666666
39,1,531,342,00:00:01.3
40,1,526,320,00:00:01.3333333333333333
41,1,525,301,00:00:01.3666666666666667
42,1,522,287,00:00:01.4
43,1,522,286,00:00:01.4333333333333333
44,1,520,276,00:00:01.4666666666666666
45,1,516,266,00:00:01.5
46,1,513,256,00:00:01.5333333333333332
47,1,511,251,00:00:01.5666666666666667
48,1,508,246,00:00:01.6
49,1,508,246,00:00:01.6333333333333333
50,1,508,243,00:00:01.6666666666666667
51,1,505,243,00:00:01.7
52,1,502,243,00:00:01.7333333333333334
53,1,501,246,00:00:01.7666666666666666
54,1,500,248,00:00:01.8
55,1,498,248,00:00:01.8333333333333333
56,1,496,253,00:00:01.8666666666666667
57,1,496,261,00:00:01.9
58,1,493,268,00:00:01.9333333333333333
59,1,491,278,00:00:01.9666666666666666
60,1,490,290,00:00:02.0
61,1,488,291,00:00:02.033333333333333
62,1,486,301,00:00:02.0666666666666664
63,1,483,316,00:00:02.1
64,1,483,328,00:00:02.1333333333333333
65,0,0,0,00:00:02.1666666666666665
66,0,0,0,00:00:02.2
67,0,0,0,00:00:02.2333333333333334
68,1,492,342,00:00:02.2666666666666666
69,1,500,343,00:00:02.3
70,1,503,347,00:00:02.3333333333333335
71,1,506,351,00:00:02.3666666666666667
72,1,508,356,00:00:02.4
73,1,511,356,00:00:02.433333333333333
74,1,511,361,00:00:02.466666666666667
75,1,515,366,00:00:02.5
76,1,516,373,00:00:02.533333333333333
77,1,521,381,00:00:02.5666666666666664
78,1,523,387,00:00:02.6
79,1,523,387,00:00:02.6333333333333333
80,1,523,388,00:00:02.6666666666666665
81,1,521,391,00:00:02.7
82,1,521,396,00:00:02.7333333333333334
83,1,518,403,00:00:02.7666666666666666
84,1,518,411,00:00:02.8
85,1,518,412,00:00:02.8333333333333335
86,1,518,420,00:00:02.8666666666666667
87,0,0,0,00:00:02.9
88,0,0,0,00:00:02.933333333333333
89,0,0,0,00:00:02.966666666666667
90,0,0,0,00:00:03.0
91,0,0,0,00:00:03.033333333333333
92,0,0,0,00:00:03.0666666666666664
