Frame,Visibility,X,Y,Time
0,0,0,0,00:00:00.0
1,0,0,0,00:00:00.03333333333333333
2,0,0,0,00:00:00.06666666666666667
3,1,693,348,00:00:00.1
4,1,696,351,00:00:00.13333333333333333
5,1,698,356,00:00:00.16666666666666666
6,1,701,363,00:00:00.2
7,1,701,365,00:00:00.23333333333333334
8,1,703,371,00:00:00.26666666666666666
9,1,706,381,00:00:00.3
10,1,706,390,00:00:00.3333333333333333
11,1,710,401,00:00:00.36666666666666664
12,1,710,416,00:00:00.4
13,1,710,416,00:00:00.43333333333333335
14,1,711,426,00:00:00.4666666666666667
15,0,0,0,00:00:00.5
16,0,0,0,00:00:00.5333333333333333
17,1,746,382,00:00:00.5666666666666667
18,1,753,371,00:00:00.6
19,1,755,371,00:00:00.6333333333333333
20,1,763,361,00:00:00.6666666666666666
21,1,771,353,00:00:00.7
22,1,778,351,00:00:00.7333333333333333
23,1,786,346,00:00:00.7666666666666666
24,1,790,346,00:00:00.8
25,1,791,345,00:00:00.8333333333333334
26,1,796,346,00:00:00.8666666666666667
27,1,801,346,00:00:00.9
28,1,807,348,00:00:00.9333333333333333
29,1,812,351,00:00:00.9666666666666667
30,1,816,356,00:00:01.0
31,1,817,358,00:00:01.0333333333333332
32,1,821,361,00:00:01.0666666666666667
33,1,826,371,00:00:01.1
34,1,831,378,00:00:01.1333333333333333
35,1,833,386,00:00:01.1666666666666667
36,1,836,397,00:00:01.2
37,1,838,396,00:00:01.2333333333333334
38,1,838,390,00:00:01.2666666666666666
39,1,841,378,00:00:01.3
40,1,840,370,00:00:01.3333333333333333
41,1,838,361,00:00:01.3666666666666667
42,1,837,356,00:00:01.4
43,1,837,356,00:00:01.4333333333333333
44,1,838,351,00:00:01.4666666666666666
45,1,838,346,00:00:01.5
46,1,836,346,00:00:01.5333333333333332
47,1,836,346,00:00:01.5666666666666667
48,1,835,348,00:00:01.6
49,1,835,348,00:00:01.6333333333333333
50,1,833,351,00:00:01.6666666666666667
51,1,831,356,00:00:01.7
52,1,828,363,00:00:01.7333333333333334
53,1,826,371,00:00:01.7666666666666666
54,1,826,378,00:00:01.8
55,1,825,381,00:00:01.8333333333333333
56,1,823,391,00:00:01.8666666666666667
57,1,821,401,00:00:01.9
58,1,821,413,00:00:01.9333333333333333
59,1,820,428,00:00:01.9666666666666666
60,1,820,437,00:00:02.0
61,1,820,435,00:00:02.033333333333333
62,1,821,423,00:00:02.0666666666666664
63,1,823,401,00:00:02.1
64,1,825,387,00:00:02.1333333333333333
65,1,826,378,00:00:02.1666666666666665
66,1,826,371,00:00:02.2
67,1,826,370,00:00:02.2333333333333334
68,1,826,363,00:00:02.2666666666666666
69,1,826,360,00:00:02.3
70,1,826,355,00:00:02.3333333333333335
71,1,827,351,00:00:02.3666666666666667
72,1,828,351,00:00:02.4
73,1,831,351,00:00:02.433333333333333
74,1,831,351,00:00:02.466666666666667
75,1,833,355,00:00:02.5
76,1,835,358,00:00:02.533333333333333
77,1,836,363,00:00:02.5666666666666664
78,1,838,370,00:00:02.6
79,1,838,371,00:00:02.6333333333333333
80,1,841,376,00:00:02.6666666666666665
81,1,842,386,00:00:02.7
82,1,843,393,00:00:02.7333333333333334
83,1,846,402,00:00:02.7666666666666666
84,1,843,410,00:00:02.8
85,1,843,411,00:00:02.8333333333333335
86,1,841,410,00:00:02.8666666666666667
87,1,841,433,00:00:02.9
88,1,841,446,00:00:02.933333333333333
89,1,841,461,00:00:02.966666666666667
90,1,841,475,00:00:03.0
91,1,842,478,00:00:03.033333333333333
92,1,843,491,00:00:03.0666666666666664
93,1,843,500,00:00:03.1
94,1,842,496,00:00:03.1333333333333333
95,1,842,496,00:00:03.1666666666666665
96,1,841,496,00:00:03.2
97,1,841,496,00:00:03.2333333333333334
98,1,842,497,00:00:03.2666666666666666
99,1,841,500,00:00:03.3
100,1,842,502,00:00:03.3333333333333335
101,1,841,506,00:00:03.3666666666666667
102,1,841,503,00:00:03.4
103,1,841,503,00:00:03.433333333333333
104,1,838,502,00:00:03.466666666666667
