Frame,Visibility,X,Y,Time,Hit
0,1,796,285,00:00:00.0,0
1,1,792,283,00:00:00.03333333333333333,0
2,1,786,281,00:00:00.06666666666666667,0
3,1,781,283,00:00:00.1,0
4,1,776,283,00:00:00.13333333333333333,0
5,1,771,286,00:00:00.16666666666666666,0
6,1,772,286,00:00:00.2,0
7,1,768,291,00:00:00.23333333333333334,0
8,1,763,296,00:00:00.26666666666666666,0
9,1,760,301,00:00:00.3,0
10,1,756,310,00:00:00.3333333333333333,0
11,1,753,316,00:00:00.36666666666666664,0
12,1,753,317,00:00:00.4,0
13,1,751,326,00:00:00.43333333333333335,0
14,1,746,338,00:00:00.4666666666666667,0
15,1,741,348,00:00:00.5,0
16,1,740,361,00:00:00.5333333333333333,0
17,1,736,375,00:00:00.5666666666666667,0
18,1,736,375,00:00:00.6,0
19,1,733,387,00:00:00.6333333333333333,0
20,1,731,402,00:00:00.6666666666666666,1
21,1,728,413,00:00:00.7,0
22,0,0,0,00:00:00.7333333333333333,0
23,0,0,0,00:00:00.7666666666666666,0
24,0,0,0,00:00:00.8,0
25,0,0,0,00:00:00.8333333333333334,0
26,0,0,0,00:00:00.8666666666666667,0
27,1,716,337,00:00:00.9,0
28,1,716,330,00:00:00.9333333333333333,0
29,1,716,325,00:00:00.9666666666666667,0
30,1,715,326,00:00:01.0,0
31,1,716,322,00:00:01.0333333333333332,0
32,1,716,322,00:00:01.0666666666666667,0
33,0,0,0,00:00:01.1,0
34,0,0,0,00:00:01.1333333333333333,0
35,0,0,0,00:00:01.1666666666666667,0
36,1,711,322,00:00:01.2,0
37,1,711,327,00:00:01.2333333333333334,0
38,1,711,331,00:00:01.2666666666666666,0
39,1,708,336,00:00:01.3,0
40,1,711,343,00:00:01.3333333333333333,0
41,1,710,353,00:00:01.3666666666666667,0
42,1,712,351,00:00:01.4,0
43,1,711,363,00:00:01.4333333333333333,0
44,1,710,372,00:00:01.4666666666666666,0
45,1,708,383,00:00:01.5,0
46,1,710,395,00:00:01.5333333333333332,0
47,1,708,406,00:00:01.5666666666666667,0
48,1,708,406,00:00:01.6,0
49,1,708,418,00:00:01.6333333333333333,0
50,1,707,423,00:00:01.6666666666666667,1
51,1,695,365,00:00:01.7,0
52,1,706,393,00:00:01.7333333333333334,0
53,1,705,381,00:00:01.7666666666666666,0
54,1,705,381,00:00:01.8,0
55,1,705,376,00:00:01.8333333333333333,0
56,0,0,0,00:00:01.8666666666666667,0
57,0,0,0,00:00:01.9,0
58,0,0,0,00:00:01.9333333333333333,0
59,0,0,0,00:00:01.9666666666666666,0
60,0,0,0,00:00:02.0,0
61,0,0,0,00:00:02.033333333333333,0
62,0,0,0,00:00:02.0666666666666664,0
63,1,696,352,00:00:02.1,0
64,1,696,356,00:00:02.1333333333333333,0
65,1,695,358,00:00:02.1666666666666665,0
66,0,0,0,00:00:02.2,0
67,0,0,0,00:00:02.2333333333333334,0
68,1,691,373,00:00:02.2666666666666666,0
69,0,0,0,00:00:02.3,0
70,0,0,0,00:00:02.3333333333333335,0
71,0,0,0,00:00:02.3666666666666667,0
72,0,0,0,00:00:02.4,1
73,0,0,0,00:00:02.433333333333333,0
74,0,0,0,00:00:02.466666666666667,0
75,0,0,0,00:00:02.5,0
76,0,0,0,00:00:02.533333333333333,0
77,0,0,0,00:00:02.5666666666666664,0
78,0,0,0,00:00:02.6,0
79,0,0,0,00:00:02.6333333333333333,0
80,0,0,0,00:00:02.6666666666666665,0
81,1,613,316,00:00:02.7,1
82,1,596,326,00:00:02.7333333333333334,0
83,1,581,331,00:00:02.7666666666666666,0
84,1,578,331,00:00:02.8,0
85,1,565,341,00:00:02.8333333333333335,0
86,1,553,350,00:00:02.8666666666666667,0
87,1,541,361,00:00:02.9,0
88,1,528,371,00:00:02.933333333333333,0
89,1,518,381,00:00:02.966666666666667,0
90,1,518,381,00:00:03.0,0
91,1,510,392,00:00:03.033333333333333,0
92,1,501,406,00:00:03.0666666666666664,0
93,1,491,418,00:00:03.1,0
94,1,482,435,00:00:03.1333333333333333,0
95,1,475,450,00:00:03.1666666666666665,0
96,1,473,451,00:00:03.2,0
97,1,466,466,00:00:03.2333333333333334,0
98,1,460,483,00:00:03.2666666666666666,0
99,1,452,502,00:00:03.3,0
100,1,445,521,00:00:03.3333333333333335,0
101,1,438,541,00:00:03.3666666666666667,0
102,1,438,541,00:00:03.4,0
103,1,431,561,00:00:03.433333333333333,0
104,1,425,583,00:00:03.466666666666667,0
105,1,418,606,00:00:03.5,0
106,1,413,628,00:00:03.533333333333333,0
107,1,408,645,00:00:03.5666666666666664,0
108,1,408,641,00:00:03.6,0
109,1,407,638,00:00:03.6333333333333333,0
110,1,406,636,00:00:03.6666666666666665,0
111,1,397,640,00:00:03.6999999999999997,0
112,1,396,640,00:00:03.7333333333333334,0
113,1,396,641,00:00:03.7666666666666666,0
114,1,396,641,00:00:03.8,0
115,1,396,645,00:00:03.8333333333333335,0
116,1,395,650,00:00:03.8666666666666667,0
