Frame,Visibility,X,Y,Time
0,1,570,71,00:00:00.0
1,1,571,72,00:00:00.03333333333333333
2,1,571,72,00:00:00.06666666666666667
3,1,532,6,00:00:00.1
4,1,532,6,00:00:00.13333333333333333
5,1,531,8,00:00:00.16666666666666666
6,1,572,76,00:00:00.2
7,0,0,0,00:00:00.23333333333333334
8,0,0,0,00:00:00.26666666666666666
9,1,572,75,00:00:00.3
10,1,572,76,00:00:00.3333333333333333
11,1,532,10,00:00:00.36666666666666664
12,1,532,10,00:00:00.4
13,1,535,11,00:00:00.43333333333333335
14,1,535,10,00:00:00.4666666666666667
15,1,533,11,00:00:00.5
16,1,537,11,00:00:00.5333333333333333
17,1,537,12,00:00:00.5666666666666667
18,1,486,256,00:00:00.6
19,1,543,13,00:00:00.6333333333333333
20,1,546,13,00:00:00.6666666666666666
21,1,546,13,00:00:00.7
22,1,548,13,00:00:00.7333333333333333
23,1,551,13,00:00:00.7666666666666666
24,1,552,15,00:00:00.8
25,1,557,15,00:00:00.8333333333333334
26,1,556,16,00:00:00.8666666666666667
27,1,556,15,00:00:00.9
28,1,556,15,00:00:00.9333333333333333
29,1,555,17,00:00:00.9666666666666667
30,1,555,17,00:00:01.0
31,1,770,6,00:00:01.0333333333333332
32,1,550,18,00:00:01.0666666666666667
33,1,767,6,00:00:01.1
34,1,547,20,00:00:01.1333333333333333
35,1,540,21,00:00:01.1666666666666667
36,1,906,5,00:00:01.2
37,1,521,23,00:00:01.2333333333333334
38,1,495,6,00:00:01.2666666666666666
39,1,722,13,00:00:01.3
40,1,487,28,00:00:01.3333333333333333
41,1,681,17,00:00:01.3666666666666667
42,1,433,12,00:00:01.4
43,1,407,15,00:00:01.4333333333333333
44,1,606,6,00:00:01.4666666666666666
45,1,381,17,00:00:01.5
46,1,353,18,00:00:01.5333333333333332
47,1,547,12,00:00:01.5666666666666667
48,1,281,5,00:00:01.6
49,1,298,87,00:00:01.6333333333333333
50,1,446,15,00:00:01.6666666666666667
51,1,826,15,00:00:01.7
52,1,190,26,00:00:01.7333333333333334
53,1,148,5,00:00:01.7666666666666666
54,1,607,100,00:00:01.8
55,0,0,0,00:00:01.8333333333333333
56,0,0,0,00:00:01.8666666666666667
57,1,822,317,00:00:01.9
58,1,821,316,00:00:01.9333333333333333
59,1,818,313,00:00:01.9666666666666666
60,1,818,313,00:00:02.0
61,1,818,316,00:00:02.033333333333333
62,1,816,318,00:00:02.0666666666666664
63,1,816,318,00:00:02.1
64,1,816,321,00:00:02.1333333333333333
65,1,816,326,00:00:02.1666666666666665
66,1,816,332,00:00:02.2
67,1,816,340,00:00:02.2333333333333334
68,1,816,346,00:00:02.2666666666666666
69,1,815,346,00:00:02.3
70,1,816,356,00:00:02.3333333333333335
71,1,816,363,00:00:02.3666666666666667
72,1,813,376,00:00:02.4
73,1,813,386,00:00:02.433333333333333
74,1,813,396,00:00:02.466666666666667
75,1,813,395,00:00:02.5
76,1,803,388,00:00:02.533333333333333
77,1,793,377,00:00:02.5666666666666664
78,1,788,368,00:00:02.6
79,1,781,360,00:00:02.6333333333333333
80,0,0,0,00:00:02.6666666666666665
81,0,0,0,00:00:02.7
82,0,0,0,00:00:02.7333333333333334
83,0,0,0,00:00:02.7666666666666666
84,0,0,0,00:00:02.8
85,1,746,363,00:00:02.8333333333333335
86,1,740,363,00:00:02.8666666666666667
87,1,740,365,00:00:02.9
88,1,732,367,00:00:02.933333333333333
89,1,726,372,00:00:02.966666666666667
90,1,720,381,00:00:03.0
91,1,715,390,00:00:03.033333333333333
92,1,713,397,00:00:03.0666666666666664
93,0,0,0,00:00:03.1
94,0,0,0,00:00:03.1333333333333333
95,0,0,0,00:00:03.1666666666666665
96,0,0,0,00:00:03.2
97,0,0,0,00:00:03.2333333333333334
98,0,0,0,00:00:03.2666666666666666
99,0,0,0,00:00:03.3
100,0,0,0,00:00:03.3333333333333335
101,1,707,277,00:00:03.3666666666666667
102,1,712,236,00:00:03.4
103,1,716,206,00:00:03.433333333333333
104,1,720,180,00:00:03.466666666666667
105,1,720,178,00:00:03.5
106,1,721,158,00:00:03.533333333333333
107,1,725,138,00:00:03.5666666666666664
108,1,726,123,00:00:03.6
109,1,728,108,00:00:03.6333333333333333
