Frame,Visibility,X,Y,Time
0,0,0,0,00:00:00.0
1,0,0,0,00:00:00.03333333333333333
2,0,0,0,00:00:00.06666666666666667
3,0,0,0,00:00:00.1
4,0,0,0,00:00:00.13333333333333333
5,0,0,0,00:00:00.16666666666666666
6,0,0,0,00:00:00.2
7,0,0,0,00:00:00.23333333333333334
8,0,0,0,00:00:00.26666666666666666
9,0,0,0,00:00:00.3
10,0,0,0,00:00:00.3333333333333333
11,0,0,0,00:00:00.36666666666666664
12,0,0,0,00:00:00.4
13,0,0,0,00:00:00.43333333333333335
14,0,0,0,00:00:00.4666666666666667
15,0,0,0,00:00:00.5
16,0,0,0,00:00:00.5333333333333333
17,0,0,0,00:00:00.5666666666666667
18,1,685,381,00:00:00.6
19,1,685,392,00:00:00.6333333333333333
20,1,686,393,00:00:00.6666666666666666
21,1,686,406,00:00:00.7
22,1,686,416,00:00:00.7333333333333333
23,0,0,0,00:00:00.7666666666666666
24,0,0,0,00:00:00.8
25,0,0,0,00:00:00.8333333333333334
26,0,0,0,00:00:00.8666666666666667
27,1,723,318,00:00:00.9
28,1,731,303,00:00:00.9333333333333333
29,1,736,288,00:00:00.9666666666666667
30,1,742,280,00:00:01.0
31,1,747,271,00:00:01.0333333333333332
32,1,748,271,00:00:01.0666666666666667
33,1,753,263,00:00:01.1
34,1,756,258,00:00:01.1333333333333333
35,1,761,256,00:00:01.1666666666666667
36,1,766,253,00:00:01.2
37,1,768,253,00:00:01.2333333333333334
38,1,768,255,00:00:01.2666666666666666
39,0,0,0,00:00:01.3
40,0,0,0,00:00:01.3333333333333333
41,0,0,0,00:00:01.3666666666666667
42,0,0,0,00:00:01.4
43,0,0,0,00:00:01.4333333333333333
44,0,0,0,00:00:01.4666666666666666
45,1,753,248,00:00:01.5
46,1,665,280,00:00:01.5333333333333332
47,1,650,288,00:00:01.5666666666666667
48,1,632,295,00:00:01.6
49,1,615,303,00:00:01.6333333333333333
50,1,613,303,00:00:01.6666666666666667
51,1,597,313,00:00:01.7
52,1,581,323,00:00:01.7333333333333334
53,1,566,336,00:00:01.7666666666666666
54,1,551,348,00:00:01.8
55,1,541,361,00:00:01.8333333333333333
56,1,540,361,00:00:01.8666666666666667
57,1,525,376,00:00:01.9
58,1,513,388,00:00:01.9333333333333333
59,1,501,406,00:00:01.9666666666666666
60,1,490,421,00:00:02.0
61,1,478,436,00:00:02.033333333333333
62,1,476,438,00:00:02.0666666666666664
63,1,466,456,00:00:02.1
64,1,456,476,00:00:02.1333333333333333
65,1,446,493,00:00:02.1666666666666665
66,0,0,0,00:00:02.2
67,1,510,371,00:00:02.2333333333333334
68,1,511,367,00:00:02.2666666666666666
69,1,535,318,00:00:02.3
70,1,555,282,00:00:02.3333333333333335
71,1,571,252,00:00:02.3666666666666667
72,1,587,226,00:00:02.4
73,1,598,207,00:00:02.433333333333333
74,1,601,206,00:00:02.466666666666667
75,1,612,188,00:00:02.5
76,1,623,173,00:00:02.533333333333333
77,1,633,163,00:00:02.5666666666666664
78,1,642,153,00:00:02.6
79,1,651,146,00:00:02.6333333333333333
80,1,652,146,00:00:02.6666666666666665
81,1,658,140,00:00:02.7
82,1,666,136,00:00:02.7333333333333334
83,1,673,132,00:00:02.7666666666666666
84,1,682,131,00:00:02.8
85,1,687,131,00:00:02.8333333333333335
86,1,687,131,00:00:02.8666666666666667
87,1,695,131,00:00:02.9
88,1,701,133,00:00:02.933333333333333
89,1,706,136,00:00:02.966666666666667
90,1,712,141,00:00:03.0
91,1,716,146,00:00:03.033333333333333
92,1,718,146,00:00:03.0666666666666664
93,1,723,153,00:00:03.1
94,1,728,161,00:00:03.1333333333333333
95,1,733,171,00:00:03.1666666666666665
96,1,738,178,00:00:03.2
97,1,743,188,00:00:03.2333333333333334
98,1,743,190,00:00:03.2666666666666666
99,1,747,198,00:00:03.3
100,1,752,211,00:00:03.3333333333333335
101,1,756,225,00:00:03.3666666666666667
102,1,771,261,00:00:03.4
103,1,781,286,00:00:03.433333333333333
104,1,781,286,00:00:03.466666666666667
105,1,788,306,00:00:03.5
106,1,793,325,00:00:03.533333333333333
107,1,798,343,00:00:03.5666666666666664
108,1,801,361,00:00:03.6
109,1,806,376,00:00:03.6333333333333333
110,1,806,376,00:00:03.6666666666666665
111,1,811,395,00:00:03.6999999999999997
112,1,813,411,00:00:03.7333333333333334
113,1,816,431,00:00:03.7666666666666666
114,1,817,448,00:00:03.8
115,1,821,466,00:00:03.8333333333333335
116,1,820,466,00:00:03.8666666666666667
117,1,821,486,00:00:03.9
118,1,823,506,00:00:03.933333333333333
119,1,826,513,00:00:03.966666666666667
120,0,0,0,00:00:04.0
121,1,826,445,00:00:04.033333333333333
122,1,826,445,00:00:04.066666666666666
123,1,830,416,00:00:04.1
124,1,828,398,00:00:04.133333333333333
125,1,828,385,00:00:04.166666666666667
126,1,828,371,00:00:04.2
127,1,828,363,00:00:04.233333333333333
128,1,828,361,00:00:04.266666666666667
129,1,830,352,00:00:04.3
130,1,831,346,00:00:04.333333333333333
131,1,831,343,00:00:04.366666666666666
132,1,831,341,00:00:04.4
133,1,831,340,00:00:04.433333333333334
134,1,831,338,00:00:04.466666666666667
135,1,832,338,00:00:04.5
136,1,833,341,00:00:04.533333333333333
137,1,833,343,00:00:04.566666666666666
138,1,836,346,00:00:04.6
139,1,836,351,00:00:04.633333333333333
140,1,836,353,00:00:04.666666666666667
141,1,836,360,00:00:04.7
142,1,837,366,00:00:04.733333333333333
143,1,838,376,00:00:04.766666666666667
144,1,837,381,00:00:04.8
145,1,841,376,00:00:04.833333333333333
146,1,841,376,00:00:04.866666666666666
147,1,841,361,00:00:04.9
148,1,840,353,00:00:04.933333333333334
149,1,838,346,00:00:04.966666666666667
150,1,843,340,00:00:05.0
151,1,842,336,00:00:05.033333333333333
152,1,842,336,00:00:05.066666666666666
153,1,841,335,00:00:05.1
154,1,840,335,00:00:05.133333333333333
155,1,840,335,00:00:05.166666666666667
156,1,833,336,00:00:05.2
157,1,832,338,00:00:05.233333333333333
158,1,831,341,00:00:05.266666666666667
159,1,831,346,00:00:05.3
160,1,831,351,00:00:05.333333333333333
161,1,828,358,00:00:05.366666666666666
162,1,830,367,00:00:05.4
163,1,828,376,00:00:05.433333333333334
164,1,828,376,00:00:05.466666666666667
165,1,826,387,00:00:05.5
166,1,826,401,00:00:05.533333333333333
167,1,823,413,00:00:05.566666666666666
168,1,823,428,00:00:05.6
169,1,821,441,00:00:05.633333333333333
170,1,821,441,00:00:05.666666666666667
171,1,818,432,00:00:05.7
172,1,811,346,00:00:05.733333333333333
173,1,806,300,00:00:05.766666666666667
174,1,802,260,00:00:05.8
175,1,800,233,00:00:05.833333333333333
176,1,798,232,00:00:05.866666666666666
177,1,796,201,00:00:05.9
178,1,793,181,00:00:05.933333333333334
179,1,791,161,00:00:05.966666666666667
180,1,790,145,00:00:06.0
181,1,788,131,00:00:06.033333333333333
182,1,787,130,00:00:06.066666666666666
183,1,786,118,00:00:06.1
184,1,785,108,00:00:06.133333333333333
185,1,783,101,00:00:06.166666666666667
186,1,781,96,00:00:06.2
187,1,781,91,00:00:06.233333333333333
188,1,781,91,00:00:06.266666666666667
189,1,781,88,00:00:06.3
190,1,780,87,00:00:06.333333333333333
191,1,780,86,00:00:06.366666666666666
192,1,778,86,00:00:06.4
193,1,777,87,00:00:06.433333333333334
194,1,777,88,00:00:06.466666666666667
195,1,776,91,00:00:06.5
196,1,776,96,00:00:06.533333333333333
197,1,776,101,00:00:06.566666666666666
198,1,776,108,00:00:06.6
199,1,776,116,00:00:06.633333333333333
200,1,776,116,00:00:06.666666666666667
201,1,776,126,00:00:06.7
202,1,776,136,00:00:06.733333333333333
203,1,776,146,00:00:06.766666666666667
204,1,776,156,00:00:06.8
205,1,776,168,00:00:06.833333333333333
206,1,776,168,00:00:06.866666666666666
207,1,776,181,00:00:06.8999999999999995
208,1,776,195,00:00:06.933333333333334
209,1,776,208,00:00:06.966666666666667
210,1,746,235,00:00:07.0
211,0,0,0,00:00:07.033333333333333
212,0,0,0,00:00:07.066666666666666
213,1,666,280,00:00:07.1
214,1,642,295,00:00:07.133333333333333
215,1,615,316,00:00:07.166666666666667
216,1,595,331,00:00:07.2
217,1,577,348,00:00:07.233333333333333
218,1,576,347,00:00:07.266666666666667
219,1,556,365,00:00:07.3
220,1,538,381,00:00:07.333333333333333
221,1,523,398,00:00:07.366666666666666
222,1,510,415,00:00:07.3999999999999995
223,1,496,432,00:00:07.433333333333334
224,1,495,433,00:00:07.466666666666667
225,1,481,453,00:00:07.5
226,1,466,471,00:00:07.533333333333333
227,1,456,488,00:00:07.566666666666666
228,1,443,510,00:00:07.6
229,1,433,527,00:00:07.633333333333333
230,1,431,528,00:00:07.666666666666667
231,1,426,527,00:00:07.7
232,1,426,467,00:00:07.733333333333333
233,1,423,436,00:00:07.766666666666667
234,1,430,411,00:00:07.8
235,1,431,392,00:00:07.833333333333333
236,1,431,391,00:00:07.866666666666666
237,1,431,373,00:00:07.8999999999999995
238,1,431,360,00:00:07.933333333333334
239,1,431,348,00:00:07.966666666666667
240,1,431,338,00:00:08.0
241,1,431,332,00:00:08.033333333333333
242,1,431,331,00:00:08.066666666666666
243,1,433,326,00:00:08.1
244,1,433,321,00:00:08.133333333333333
245,1,436,317,00:00:08.166666666666666
246,1,437,316,00:00:08.2
247,1,437,316,00:00:08.233333333333333
248,1,437,315,00:00:08.266666666666666
249,1,438,318,00:00:08.3
250,1,441,321,00:00:08.333333333333334
251,1,441,326,00:00:08.366666666666667
252,1,443,330,00:00:08.4
253,1,443,336,00:00:08.433333333333334
254,1,445,336,00:00:08.466666666666667
255,1,446,343,00:00:08.5
256,1,446,352,00:00:08.533333333333333
257,1,448,361,00:00:08.566666666666666
258,1,451,371,00:00:08.6
259,1,452,380,00:00:08.633333333333333
260,1,451,383,00:00:08.666666666666666
261,1,453,386,00:00:08.7
262,1,453,377,00:00:08.733333333333333
263,1,452,368,00:00:08.766666666666666
264,1,455,358,00:00:08.8
265,1,456,356,00:00:08.833333333333334
266,1,456,356,00:00:08.866666666666667
267,1,458,351,00:00:08.9
268,1,456,346,00:00:08.933333333333334
269,1,456,343,00:00:08.966666666666667
270,1,456,345,00:00:09.0
271,0,0,0,00:00:09.033333333333333
272,0,0,0,00:00:09.066666666666666
