Frame,Visibility,X,Y,Time
0,0,0,0,00:00:00.0
1,0,0,0,00:00:00.03333333333333333
2,0,0,0,00:00:00.06666666666666667
3,0,0,0,00:00:00.1
4,0,0,0,00:00:00.13333333333333333
5,0,0,0,00:00:00.16666666666666666
6,0,0,0,00:00:00.2
7,0,0,0,00:00:00.23333333333333334
8,0,0,0,00:00:00.26666666666666666
9,1,2,32,00:00:00.3
10,0,0,0,00:00:00.3333333333333333
11,0,0,0,00:00:00.36666666666666664
12,0,0,0,00:00:00.4
13,0,0,0,00:00:00.43333333333333335
14,0,0,0,00:00:00.4666666666666667
15,0,0,0,00:00:00.5
16,0,0,0,00:00:00.5333333333333333
17,0,0,0,00:00:00.5666666666666667
18,0,0,0,00:00:00.6
19,0,0,0,00:00:00.6333333333333333
20,0,0,0,00:00:00.6666666666666666
21,0,0,0,00:00:00.7
22,0,0,0,00:00:00.7333333333333333
23,0,0,0,00:00:00.7666666666666666
24,0,0,0,00:00:00.8
25,0,0,0,00:00:00.8333333333333334
26,0,0,0,00:00:00.8666666666666667
27,1,720,705,00:00:00.9
28,0,0,0,00:00:00.9333333333333333
29,0,0,0,00:00:00.9666666666666667
30,0,0,0,00:00:01.0
31,0,0,0,00:00:01.0333333333333332
32,0,0,0,00:00:01.0666666666666667
33,0,0,0,00:00:01.1
34,0,0,0,00:00:01.1333333333333333
35,0,0,0,00:00:01.1666666666666667
36,0,0,0,00:00:01.2
37,0,0,0,00:00:01.2333333333333334
38,0,0,0,00:00:01.2666666666666666
39,0,0,0,00:00:01.3
40,0,0,0,00:00:01.3333333333333333
41,0,0,0,00:00:01.3666666666666667
42,0,0,0,00:00:01.4
43,0,0,0,00:00:01.4333333333333333
44,0,0,0,00:00:01.4666666666666666
45,0,0,0,00:00:01.5
46,0,0,0,00:00:01.5333333333333332
47,0,0,0,00:00:01.5666666666666667
48,0,0,0,00:00:01.6
49,0,0,0,00:00:01.6333333333333333
50,0,0,0,00:00:01.6666666666666667
51,0,0,0,00:00:01.7
52,0,0,0,00:00:01.7333333333333334
53,0,0,0,00:00:01.7666666666666666
54,0,0,0,00:00:01.8
55,0,0,0,00:00:01.8333333333333333
56,1,665,352,00:00:01.8666666666666667
57,0,0,0,00:00:01.9
58,0,0,0,00:00:01.9333333333333333
59,0,0,0,00:00:01.9666666666666666
60,0,0,0,00:00:02.0
61,0,0,0,00:00:02.033333333333333
62,0,0,0,00:00:02.0666666666666664
63,0,0,0,00:00:02.1
64,0,0,0,00:00:02.1333333333333333
65,0,0,0,00:00:02.1666666666666665
66,0,0,0,00:00:02.2
67,0,0,0,00:00:02.2333333333333334
68,0,0,0,00:00:02.2666666666666666
69,0,0,0,00:00:02.3
70,0,0,0,00:00:02.3333333333333335
71,0,0,0,00:00:02.3666666666666667
72,0,0,0,00:00:02.4
73,0,0,0,00:00:02.433333333333333
74,0,0,0,00:00:02.466666666666667
75,0,0,0,00:00:02.5
76,0,0,0,00:00:02.533333333333333
77,0,0,0,00:00:02.5666666666666664
78,0,0,0,00:00:02.6
79,0,0,0,00:00:02.6333333333333333
80,1,710,5,00:00:02.6666666666666665
81,1,711,6,00:00:02.7
82,1,711,25,00:00:02.7333333333333334
83,1,711,52,00:00:02.7666666666666666
84,1,711,75,00:00:02.8
85,1,711,102,00:00:02.8333333333333335
86,1,710,128,00:00:02.8666666666666667
87,1,711,127,00:00:02.9
88,1,711,155,00:00:02.933333333333333
89,1,710,181,00:00:02.966666666666667
90,1,710,207,00:00:03.0
91,1,711,235,00:00:03.033333333333333
92,1,711,266,00:00:03.0666666666666664
93,1,711,265,00:00:03.1
94,1,710,291,00:00:03.1333333333333333
95,1,710,320,00:00:03.1666666666666665
96,1,710,348,00:00:03.2
97,1,708,376,00:00:03.2333333333333334
98,0,0,0,00:00:03.2666666666666666
99,0,0,0,00:00:03.3
100,1,632,346,00:00:03.3333333333333335
101,1,611,336,00:00:03.3666666666666667
102,1,591,326,00:00:03.4
103,1,573,321,00:00:03.433333333333333
104,1,561,317,00:00:03.466666666666667
105,1,561,317,00:00:03.5
106,1,550,316,00:00:03.533333333333333
107,1,541,316,00:00:03.5666666666666664
108,1,533,317,00:00:03.6
109,1,526,321,00:00:03.6333333333333333
110,1,518,326,00:00:03.6666666666666665
111,1,518,326,00:00:03.6999999999999997
112,1,512,331,00:00:03.7333333333333334
113,1,506,336,00:00:03.7666666666666666
114,1,501,343,00:00:03.8
115,1,497,351,00:00:03.8333333333333335
116,1,493,358,00:00:03.8666666666666667
117,1,493,358,00:00:03.9
118,1,490,366,00:00:03.933333333333333
119,1,486,376,00:00:03.966666666666667
120,1,483,386,00:00:04.0
121,1,481,397,00:00:04.033333333333333
122,1,506,385,00:00:04.066666666666666
123,1,505,385,00:00:04.1
124,1,530,356,00:00:04.133333333333333
125,1,557,337,00:00:04.166666666666667
126,1,581,321,00:00:04.2
127,1,601,308,00:00:04.233333333333333
128,1,620,297,00:00:04.266666666666667
129,1,621,297,00:00:04.3
130,1,638,290,00:00:04.333333333333333
131,1,653,283,00:00:04.366666666666666
132,1,670,280,00:00:04.4
133,1,683,276,00:00:04.433333333333334
134,1,697,276,00:00:04.466666666666667
135,1,696,276,00:00:04.5
136,1,710,276,00:00:04.533333333333333
137,1,721,278,00:00:04.566666666666666
138,1,733,283,00:00:04.6
139,1,745,288,00:00:04.633333333333333
140,1,756,296,00:00:04.666666666666667
141,1,756,296,00:00:04.7
142,1,766,302,00:00:04.733333333333333
143,1,775,312,00:00:04.766666666666667
144,1,783,321,00:00:04.8
145,1,792,333,00:00:04.833333333333333
146,1,801,348,00:00:04.866666666666666
147,1,801,346,00:00:04.9
148,1,811,361,00:00:04.933333333333334
149,1,816,378,00:00:04.966666666666667
150,1,822,390,00:00:05.0
151,1,823,385,00:00:05.033333333333333
152,1,811,360,00:00:05.066666666666666
153,1,811,358,00:00:05.1
154,1,807,340,00:00:05.133333333333333
155,1,801,326,00:00:05.166666666666667
156,1,798,316,00:00:05.2
157,1,793,308,00:00:05.233333333333333
158,1,791,303,00:00:05.266666666666667
159,1,791,303,00:00:05.3
160,1,788,300,00:00:05.333333333333333
161,1,786,298,00:00:05.366666666666666
162,1,782,297,00:00:05.4
163,1,781,298,00:00:05.433333333333334
164,1,778,301,00:00:05.466666666666667
165,1,778,301,00:00:05.5
166,1,776,306,00:00:05.533333333333333
167,1,776,311,00:00:05.566666666666666
168,1,773,316,00:00:05.6
169,1,773,323,00:00:05.633333333333333
170,1,771,328,00:00:05.666666666666667
171,0,0,0,00:00:05.7
172,0,0,0,00:00:05.733333333333333
173,0,0,0,00:00:05.766666666666667
174,1,768,360,00:00:05.8
175,1,767,362,00:00:05.833333333333333
176,0,0,0,00:00:05.866666666666666
177,0,0,0,00:00:05.9
178,1,713,357,00:00:05.933333333333334
179,1,691,350,00:00:05.966666666666667
180,1,671,351,00:00:06.0
181,1,652,352,00:00:06.033333333333333
182,1,633,356,00:00:06.066666666666666
183,1,635,356,00:00:06.1
184,1,617,361,00:00:06.133333333333333
185,1,601,366,00:00:06.166666666666667
186,1,583,371,00:00:06.2
187,1,570,380,00:00:06.233333333333333
188,1,556,387,00:00:06.266666666666667
189,1,553,388,00:00:06.3
190,1,541,396,00:00:06.333333333333333
191,1,527,407,00:00:06.366666666666666
192,1,515,421,00:00:06.4
193,1,502,433,00:00:06.433333333333334
194,1,491,446,00:00:06.466666666666667
195,1,491,446,00:00:06.5
196,1,478,461,00:00:06.533333333333333
197,1,467,476,00:00:06.566666666666666
198,1,457,493,00:00:06.6
199,1,446,511,00:00:06.633333333333333
200,1,436,527,00:00:06.666666666666667
201,1,436,530,00:00:06.7
202,1,431,531,00:00:06.733333333333333
203,1,427,526,00:00:06.766666666666667
204,1,426,523,00:00:06.8
205,1,425,525,00:00:06.833333333333333
206,1,423,525,00:00:06.866666666666666
207,1,422,526,00:00:06.8999999999999995
208,1,422,526,00:00:06.933333333333334
209,1,422,525,00:00:06.966666666666667
210,1,420,517,00:00:07.0
211,1,417,515,00:00:07.033333333333333
212,1,416,511,00:00:07.066666666666666
213,1,413,511,00:00:07.1
214,1,411,506,00:00:07.133333333333333
215,1,410,497,00:00:07.166666666666667
216,0,0,0,00:00:07.2
217,0,0,0,00:00:07.233333333333333
218,0,0,0,00:00:07.266666666666667
