Frame,Visibility,X,Y,Time
0,0,0,0,00:00:00.0
1,0,0,0,00:00:00.03333333333333333
2,0,0,0,00:00:00.06666666666666667
3,0,0,0,00:00:00.1
4,0,0,0,00:00:00.13333333333333333
5,0,0,0,00:00:00.16666666666666666
6,0,0,0,00:00:00.2
7,0,0,0,00:00:00.23333333333333334
8,0,0,0,00:00:00.26666666666666666
9,0,0,0,00:00:00.3
10,0,0,0,00:00:00.3333333333333333
11,0,0,0,00:00:00.36666666666666664
12,0,0,0,00:00:00.4
13,0,0,0,00:00:00.43333333333333335
14,0,0,0,00:00:00.4666666666666667
15,1,663,208,00:00:00.5
16,0,0,0,00:00:00.5333333333333333
17,0,0,0,00:00:00.5666666666666667
18,1,552,162,00:00:00.6
19,1,565,166,00:00:00.6333333333333333
20,0,0,0,00:00:00.6666666666666666
21,0,0,0,00:00:00.7
22,0,0,0,00:00:00.7333333333333333
23,0,0,0,00:00:00.7666666666666666
24,0,0,0,00:00:00.8
25,0,0,0,00:00:00.8333333333333334
26,0,0,0,00:00:00.8666666666666667
27,1,686,341,00:00:00.9
28,1,698,341,00:00:00.9333333333333333
29,1,711,341,00:00:00.9666666666666667
30,1,711,342,00:00:01.0
31,1,722,346,00:00:01.0333333333333332
32,1,733,351,00:00:01.0666666666666667
33,1,743,356,00:00:01.1
34,1,753,363,00:00:01.1333333333333333
35,1,763,371,00:00:01.1666666666666667
36,1,763,371,00:00:01.2
37,1,771,381,00:00:01.2333333333333334
38,1,781,391,00:00:01.2666666666666666
39,1,790,403,00:00:01.3
40,1,798,416,00:00:01.3333333333333333
41,1,806,431,00:00:01.3666666666666667
42,1,806,430,00:00:01.4
43,1,813,445,00:00:01.4333333333333333
44,1,821,461,00:00:01.4666666666666666
45,1,826,475,00:00:01.5
46,0,0,0,00:00:01.5333333333333332
47,1,825,398,00:00:01.5666666666666667
48,1,825,403,00:00:01.6
49,1,823,351,00:00:01.6333333333333333
50,1,821,318,00:00:01.6666666666666667
51,1,821,290,00:00:01.7
52,1,820,266,00:00:01.7333333333333334
53,1,818,247,00:00:01.7666666666666666
54,1,818,247,00:00:01.8
55,1,818,231,00:00:01.8333333333333333
56,1,816,218,00:00:01.8666666666666667
57,1,816,208,00:00:01.9
58,1,816,198,00:00:01.9333333333333333
59,1,816,193,00:00:01.9666666666666666
60,1,816,193,00:00:02.0
61,1,816,188,00:00:02.033333333333333
62,1,816,185,00:00:02.0666666666666664
63,0,0,0,00:00:02.1
64,0,0,0,00:00:02.1333333333333333
65,0,0,0,00:00:02.1666666666666665
66,1,815,182,00:00:02.2
67,1,816,185,00:00:02.2333333333333334
68,1,815,186,00:00:02.2666666666666666
69,1,813,191,00:00:02.3
70,1,813,196,00:00:02.3333333333333335
71,1,813,201,00:00:02.3666666666666667
72,1,815,201,00:00:02.4
73,1,815,208,00:00:02.433333333333333
74,1,815,216,00:00:02.466666666666667
75,1,815,226,00:00:02.5
76,1,813,236,00:00:02.533333333333333
77,1,815,246,00:00:02.5666666666666664
78,1,815,245,00:00:02.6
79,1,825,231,00:00:02.6333333333333333
80,1,836,213,00:00:02.6666666666666665
81,1,845,196,00:00:02.7
82,1,851,183,00:00:02.7333333333333334
83,1,858,175,00:00:02.7666666666666666
84,1,858,173,00:00:02.8
85,1,866,166,00:00:02.8333333333333335
86,1,871,162,00:00:02.8666666666666667
87,1,875,158,00:00:02.9
88,1,878,158,00:00:02.933333333333333
89,1,883,158,00:00:02.966666666666667
90,1,883,157,00:00:03.0
91,1,886,158,00:00:03.033333333333333
92,1,891,162,00:00:03.0666666666666664
93,1,893,166,00:00:03.1
94,1,896,171,00:00:03.1333333333333333
95,1,900,178,00:00:03.1666666666666665
96,1,898,178,00:00:03.2
97,1,901,187,00:00:03.2333333333333334
98,1,903,197,00:00:03.2666666666666666
99,1,906,207,00:00:03.3
100,1,906,220,00:00:03.3333333333333335
101,1,908,231,00:00:03.3666666666666667
102,1,908,231,00:00:03.4
103,1,911,246,00:00:03.433333333333333
104,1,911,261,00:00:03.466666666666667
105,1,911,278,00:00:03.5
106,1,911,296,00:00:03.533333333333333
107,1,912,315,00:00:03.5666666666666664
108,1,912,313,00:00:03.6
109,1,913,333,00:00:03.6333333333333333
110,1,913,353,00:00:03.6666666666666665
111,1,882,340,00:00:03.6999999999999997
112,1,860,331,00:00:03.7333333333333334
113,1,846,325,00:00:03.7666666666666666
114,1,846,325,00:00:03.8
115,1,838,321,00:00:03.8333333333333335
116,1,828,321,00:00:03.8666666666666667
117,1,822,323,00:00:03.9
118,1,817,325,00:00:03.933333333333333
119,1,813,326,00:00:03.966666666666667
120,1,813,326,00:00:04.0
121,1,808,330,00:00:04.033333333333333
122,1,806,336,00:00:04.066666666666666
123,0,0,0,00:00:04.1
124,0,0,0,00:00:04.133333333333333
125,0,0,0,00:00:04.166666666666667
126,0,0,0,00:00:04.2
127,1,805,331,00:00:04.233333333333333
128,1,805,318,00:00:04.266666666666667
129,1,806,311,00:00:04.3
130,1,811,308,00:00:04.333333333333333
131,1,813,303,00:00:04.366666666666666
132,1,813,303,00:00:04.4
133,1,815,301,00:00:04.433333333333334
134,1,816,301,00:00:04.466666666666667
135,1,818,301,00:00:04.5
136,1,818,303,00:00:04.533333333333333
137,1,821,306,00:00:04.566666666666666
138,1,821,306,00:00:04.6
139,1,822,311,00:00:04.633333333333333
140,1,823,316,00:00:04.666666666666667
141,1,826,323,00:00:04.7
142,1,826,331,00:00:04.733333333333333
143,1,826,341,00:00:04.766666666666667
144,1,826,341,00:00:04.8
145,1,826,352,00:00:04.833333333333333
146,1,827,363,00:00:04.866666666666666
147,1,828,376,00:00:04.9
148,1,828,391,00:00:04.933333333333334
149,1,828,405,00:00:04.966666666666667
150,1,828,405,00:00:05.0
151,1,828,421,00:00:05.033333333333333
152,1,830,436,00:00:05.066666666666666
153,1,830,455,00:00:05.1
154,1,831,472,00:00:05.133333333333333
155,1,831,491,00:00:05.166666666666667
156,1,831,491,00:00:05.2
157,1,831,511,00:00:05.233333333333333
158,1,828,528,00:00:05.266666666666667
159,0,0,0,00:00:05.3
160,1,826,470,00:00:05.333333333333333
161,1,826,443,00:00:05.366666666666666
162,1,826,443,00:00:05.4
163,1,826,418,00:00:05.433333333333334
164,1,825,403,00:00:05.466666666666667
165,1,821,388,00:00:05.5
166,1,818,376,00:00:05.533333333333333
167,1,816,366,00:00:05.566666666666666
168,1,816,365,00:00:05.6
169,1,816,356,00:00:05.633333333333333
170,1,816,348,00:00:05.666666666666667
171,1,813,343,00:00:05.7
172,1,812,338,00:00:05.733333333333333
173,1,811,336,00:00:05.766666666666667
174,1,811,336,00:00:05.8
175,1,811,336,00:00:05.833333333333333
176,1,808,336,00:00:05.866666666666666
177,1,807,337,00:00:05.9
178,1,806,341,00:00:05.933333333333334
179,1,806,346,00:00:05.966666666666667
180,1,806,346,00:00:06.0
181,1,805,351,00:00:06.033333333333333
182,1,803,356,00:00:06.066666666666666
183,1,801,365,00:00:06.1
184,1,801,373,00:00:06.133333333333333
185,1,801,383,00:00:06.166666666666667
186,1,801,383,00:00:06.2
187,1,801,393,00:00:06.233333333333333
188,1,798,406,00:00:06.266666666666667
189,1,798,417,00:00:06.3
190,0,0,0,00:00:06.333333333333333
191,0,0,0,00:00:06.366666666666666
192,1,756,352,00:00:06.4
193,1,791,426,00:00:06.433333333333334
194,1,726,300,00:00:06.466666666666667
195,1,712,281,00:00:06.5
196,1,701,266,00:00:06.533333333333333
197,1,687,248,00:00:06.566666666666666
198,1,687,248,00:00:06.6
199,1,676,233,00:00:06.633333333333333
200,1,665,226,00:00:06.666666666666667
201,1,655,216,00:00:06.7
202,1,646,211,00:00:06.733333333333333
203,1,636,206,00:00:06.766666666666667
204,1,636,206,00:00:06.8
205,1,627,203,00:00:06.833333333333333
206,1,618,202,00:00:06.866666666666666
207,1,608,202,00:00:06.8999999999999995
208,1,601,206,00:00:06.933333333333334
209,1,593,208,00:00:06.966666666666667
210,1,593,208,00:00:07.0
211,1,585,215,00:00:07.033333333333333
212,1,576,221,00:00:07.066666666666666
213,1,568,228,00:00:07.1
214,1,561,238,00:00:07.133333333333333
215,1,553,248,00:00:07.166666666666667
216,1,555,250,00:00:07.2
217,1,546,263,00:00:07.233333333333333
218,1,540,276,00:00:07.266666666666667
219,1,533,291,00:00:07.3
220,1,526,307,00:00:07.333333333333333
221,1,520,325,00:00:07.366666666666666
222,1,521,325,00:00:07.3999999999999995
223,1,513,343,00:00:07.433333333333334
224,1,508,361,00:00:07.466666666666667
225,1,503,375,00:00:07.5
226,1,500,330,00:00:07.533333333333333
227,1,500,253,00:00:07.566666666666666
228,1,501,252,00:00:07.6
229,1,501,201,00:00:07.633333333333333
230,1,501,166,00:00:07.666666666666667
231,1,502,137,00:00:07.7
232,1,503,115,00:00:07.733333333333333
233,1,503,96,00:00:07.766666666666667
234,1,502,96,00:00:07.8
235,1,503,83,00:00:07.833333333333333
236,1,503,71,00:00:07.866666666666666
237,1,503,63,00:00:07.8999999999999995
238,1,505,56,00:00:07.933333333333334
239,1,505,52,00:00:07.966666666666667
240,1,506,53,00:00:08.0
241,1,506,51,00:00:08.033333333333333
242,1,506,48,00:00:08.066666666666666
243,1,507,50,00:00:08.1
244,1,507,51,00:00:08.133333333333333
245,1,508,52,00:00:08.166666666666666
246,1,508,53,00:00:08.2
247,1,510,56,00:00:08.233333333333333
248,1,511,61,00:00:08.266666666666666
249,1,511,66,00:00:08.3
250,1,511,73,00:00:08.333333333333334
251,1,512,81,00:00:08.366666666666667
252,1,513,81,00:00:08.4
253,1,513,91,00:00:08.433333333333334
254,1,515,98,00:00:08.466666666666667
255,1,516,107,00:00:08.5
256,1,516,118,00:00:08.533333333333333
257,1,516,131,00:00:08.566666666666666
258,1,516,128,00:00:08.6
259,1,518,141,00:00:08.633333333333333
260,1,518,155,00:00:08.666666666666666
261,1,518,166,00:00:08.7
262,1,521,181,00:00:08.733333333333333
263,1,521,193,00:00:08.766666666666666
264,1,521,193,00:00:08.8
265,1,551,187,00:00:08.833333333333334
266,1,581,176,00:00:08.866666666666667
267,1,602,168,00:00:08.9
268,1,621,163,00:00:08.933333333333334
269,1,638,161,00:00:08.966666666666667
270,1,638,161,00:00:09.0
271,1,653,158,00:00:09.033333333333333
272,1,666,158,00:00:09.066666666666666
