Frame,Visibility,X,Y,Time
0,0,0,0,00:00:00.0
1,0,0,0,00:00:00.03333333333333333
2,0,0,0,00:00:00.06666666666666667
3,0,0,0,00:00:00.1
4,0,0,0,00:00:00.13333333333333333
5,0,0,0,00:00:00.16666666666666666
6,0,0,0,00:00:00.2
7,0,0,0,00:00:00.23333333333333334
8,0,0,0,00:00:00.26666666666666666
9,1,1277,216,00:00:00.3
10,1,1277,211,00:00:00.3333333333333333
11,0,0,0,00:00:00.36666666666666664
12,1,687,356,00:00:00.4
13,1,696,351,00:00:00.43333333333333335
14,1,705,346,00:00:00.4666666666666667
15,1,706,346,00:00:00.5
16,1,711,343,00:00:00.5333333333333333
17,1,717,343,00:00:00.5666666666666667
18,0,0,0,00:00:00.6
19,0,0,0,00:00:00.6333333333333333
20,1,740,348,00:00:00.6666666666666666
21,1,740,348,00:00:00.7
22,1,746,353,00:00:00.7333333333333333
23,1,751,361,00:00:00.7666666666666666
24,1,756,366,00:00:00.8
25,1,761,375,00:00:00.8333333333333334
26,1,765,381,00:00:00.8666666666666667
27,0,0,0,00:00:00.9
28,0,0,0,00:00:00.9333333333333333
29,1,748,362,00:00:00.9666666666666667
30,1,738,351,00:00:01.0
31,1,733,343,00:00:01.0333333333333332
32,1,727,337,00:00:01.0666666666666667
33,1,726,336,00:00:01.1
34,1,718,331,00:00:01.1333333333333333
35,1,711,330,00:00:01.1666666666666667
36,1,705,330,00:00:01.2
37,1,697,331,00:00:01.2333333333333334
38,1,691,336,00:00:01.2666666666666666
39,1,691,336,00:00:01.3
40,1,686,338,00:00:01.3333333333333333
41,1,678,343,00:00:01.3666666666666667
42,1,671,351,00:00:01.4
43,1,666,356,00:00:01.4333333333333333
44,1,658,366,00:00:01.4666666666666666
45,1,658,366,00:00:01.5
46,1,653,375,00:00:01.5333333333333332
47,1,646,386,00:00:01.5666666666666667
48,1,642,397,00:00:01.6
49,1,636,411,00:00:01.6333333333333333
50,1,650,408,00:00:01.6666666666666667
51,0,0,0,00:00:01.7
52,0,0,0,00:00:01.7333333333333334
53,1,643,348,00:00:01.7666666666666666
54,1,651,306,00:00:01.8
55,1,657,275,00:00:01.8333333333333333
56,1,662,245,00:00:01.8666666666666667
57,1,663,242,00:00:01.9
58,1,668,218,00:00:01.9333333333333333
59,1,673,198,00:00:01.9666666666666666
60,1,677,178,00:00:02.0
61,1,682,163,00:00:02.033333333333333
62,1,686,151,00:00:02.0666666666666664
63,1,686,151,00:00:02.1
64,1,691,141,00:00:02.1333333333333333
65,1,693,131,00:00:02.1666666666666665
66,1,696,126,00:00:02.2
67,1,701,118,00:00:02.2333333333333334
68,1,705,116,00:00:02.2666666666666666
69,1,703,116,00:00:02.3
70,1,706,113,00:00:02.3333333333333335
71,1,710,111,00:00:02.3666666666666667
72,1,713,112,00:00:02.4
73,1,716,113,00:00:02.433333333333333
74,1,720,116,00:00:02.466666666666667
75,1,721,116,00:00:02.5
76,1,722,120,00:00:02.533333333333333
77,1,726,126,00:00:02.5666666666666664
78,1,728,131,00:00:02.6
79,1,731,138,00:00:02.6333333333333333
80,1,736,146,00:00:02.6666666666666665
81,1,736,146,00:00:02.7
82,1,738,156,00:00:02.7333333333333334
83,1,741,166,00:00:02.7666666666666666
84,1,743,176,00:00:02.8
85,1,746,186,00:00:02.8333333333333335
86,1,747,198,00:00:02.8666666666666667
87,1,748,198,00:00:02.9
88,1,750,217,00:00:02.933333333333333
89,1,753,243,00:00:02.966666666666667
90,1,755,266,00:00:03.0
91,1,756,283,00:00:03.033333333333333
92,0,0,0,00:00:03.0666666666666664
93,0,0,0,00:00:03.1
94,0,0,0,00:00:03.1333333333333333
95,0,0,0,00:00:03.1666666666666665
96,1,758,355,00:00:03.2
97,1,761,375,00:00:03.2333333333333334
98,1,761,388,00:00:03.2666666666666666
99,1,761,387,00:00:03.3
100,1,761,406,00:00:03.3333333333333335
101,1,760,423,00:00:03.3666666666666667
102,1,758,441,00:00:03.4
103,1,758,458,00:00:03.433333333333333
104,1,728,436,00:00:03.466666666666667
105,1,728,436,00:00:03.5
106,1,711,416,00:00:03.533333333333333
107,1,691,396,00:00:03.5666666666666664
108,0,0,0,00:00:03.6
109,0,0,0,00:00:03.6333333333333333
110,1,646,362,00:00:03.6666666666666665
111,1,647,363,00:00:03.6999999999999997
112,1,632,356,00:00:03.7333333333333334
113,1,621,351,00:00:03.7666666666666666
114,1,611,348,00:00:03.8
115,1,601,346,00:00:03.8333333333333335
116,1,590,345,00:00:03.8666666666666667
117,1,590,346,00:00:03.9
118,1,581,346,00:00:03.933333333333333
119,1,573,348,00:00:03.966666666666667
120,1,565,352,00:00:04.0
121,1,558,356,00:00:04.033333333333333
122,1,551,363,00:00:04.066666666666666
123,1,551,363,00:00:04.1
124,1,545,370,00:00:04.133333333333333
125,1,538,376,00:00:04.166666666666667
126,1,533,386,00:00:04.2
127,1,527,396,00:00:04.233333333333333
128,1,522,406,00:00:04.266666666666667
129,1,522,406,00:00:04.3
130,1,516,417,00:00:04.333333333333333
131,1,513,430,00:00:04.366666666666666
132,1,508,437,00:00:04.4
133,1,501,418,00:00:04.433333333333334
134,1,498,398,00:00:04.466666666666667
135,1,498,398,00:00:04.5
136,1,495,383,00:00:04.533333333333333
137,1,495,370,00:00:04.566666666666666
138,1,491,356,00:00:04.6
139,1,486,347,00:00:04.633333333333333
140,1,482,342,00:00:04.666666666666667
141,1,483,343,00:00:04.7
142,1,478,338,00:00:04.733333333333333
143,1,473,336,00:00:04.766666666666667
144,1,471,333,00:00:04.8
145,1,466,331,00:00:04.833333333333333
146,1,465,331,00:00:04.866666666666666
147,1,463,331,00:00:04.9
148,1,461,331,00:00:04.933333333333334
149,1,458,333,00:00:04.966666666666667
150,1,453,338,00:00:05.0
151,1,451,346,00:00:05.033333333333333
152,1,448,351,00:00:05.066666666666666
153,1,448,351,00:00:05.1
154,1,446,361,00:00:05.133333333333333
155,1,441,370,00:00:05.166666666666667
156,1,438,381,00:00:05.2
157,1,436,392,00:00:05.233333333333333
158,1,433,402,00:00:05.266666666666667
159,1,435,400,00:00:05.3
160,1,431,388,00:00:05.333333333333333
161,1,428,376,00:00:05.366666666666666
162,1,428,366,00:00:05.4
163,1,428,358,00:00:05.433333333333334
164,1,428,352,00:00:05.466666666666667
165,1,428,353,00:00:05.5
166,1,426,351,00:00:05.533333333333333
167,1,423,350,00:00:05.566666666666666
168,1,421,348,00:00:05.6
169,1,421,348,00:00:05.633333333333333
170,1,418,348,00:00:05.666666666666667
171,1,420,348,00:00:05.7
172,1,418,351,00:00:05.733333333333333
173,1,418,356,00:00:05.766666666666667
174,1,417,361,00:00:05.8
175,1,417,366,00:00:05.833333333333333
176,1,418,372,00:00:05.866666666666666
177,1,418,373,00:00:05.9
178,1,421,381,00:00:05.933333333333334
179,1,421,391,00:00:05.966666666666667
180,1,418,401,00:00:06.0
181,1,416,412,00:00:06.033333333333333
182,1,415,426,00:00:06.066666666666666
183,1,415,425,00:00:06.1
184,1,412,440,00:00:06.133333333333333
185,0,0,0,00:00:06.166666666666667
186,1,411,328,00:00:06.2
187,1,413,266,00:00:06.233333333333333
188,1,415,208,00:00:06.266666666666667
189,1,415,208,00:00:06.3
190,1,415,161,00:00:06.333333333333333
191,1,415,122,00:00:06.366666666666666
192,1,415,90,00:00:06.4
193,0,0,0,00:00:06.433333333333334
194,1,417,26,00:00:06.466666666666667
195,1,416,28,00:00:06.5
196,1,417,5,00:00:06.533333333333333
197,0,0,0,00:00:06.566666666666666
198,0,0,0,00:00:06.6
199,0,0,0,00:00:06.633333333333333
200,0,0,0,00:00:06.666666666666667
201,0,0,0,00:00:06.7
202,0,0,0,00:00:06.733333333333333
203,0,0,0,00:00:06.766666666666667
204,0,0,0,00:00:06.8
205,0,0,0,00:00:06.833333333333333
206,0,0,0,00:00:06.866666666666666
207,0,0,0,00:00:06.8999999999999995
208,0,0,0,00:00:06.933333333333334
209,0,0,0,00:00:06.966666666666667
210,0,0,0,00:00:07.0
211,0,0,0,00:00:07.033333333333333
212,0,0,0,00:00:07.066666666666666
213,0,0,0,00:00:07.1
214,0,0,0,00:00:07.133333333333333
215,0,0,0,00:00:07.166666666666667
216,0,0,0,00:00:07.2
217,0,0,0,00:00:07.233333333333333
218,0,0,0,00:00:07.266666666666667
219,0,0,0,00:00:07.3
220,0,0,0,00:00:07.333333333333333
221,0,0,0,00:00:07.366666666666666
222,1,1052,35,00:00:07.3999999999999995
223,1,872,190,00:00:07.433333333333334
224,1,858,186,00:00:07.466666666666667
225,1,860,190,00:00:07.5
226,1,847,190,00:00:07.533333333333333
227,1,833,187,00:00:07.566666666666666
228,1,543,227,00:00:07.6
229,1,1158,18,00:00:07.633333333333333
230,0,0,0,00:00:07.666666666666667
231,1,208,207,00:00:07.7
232,1,200,207,00:00:07.733333333333333
233,0,0,0,00:00:07.766666666666667
234,1,1128,47,00:00:07.8
235,0,0,0,00:00:07.833333333333333
236,1,1006,3,00:00:07.866666666666666
237,1,857,181,00:00:07.8999999999999995
238,1,866,178,00:00:07.933333333333334
239,0,0,0,00:00:07.966666666666667
240,1,1190,41,00:00:08.0
241,1,906,173,00:00:08.033333333333333
242,1,921,171,00:00:08.066666666666666
243,1,877,170,00:00:08.1
244,0,0,0,00:00:08.133333333333333
245,0,0,0,00:00:08.166666666666666
246,1,448,343,00:00:08.2
247,1,451,348,00:00:08.233333333333333
248,1,452,356,00:00:08.266666666666666
249,1,452,356,00:00:08.3
250,1,453,361,00:00:08.333333333333334
251,1,456,366,00:00:08.366666666666667
252,1,456,375,00:00:08.4
253,1,456,380,00:00:08.433333333333334
254,1,451,342,00:00:08.466666666666667
255,1,451,342,00:00:08.5
256,1,448,318,00:00:08.533333333333333
257,1,446,298,00:00:08.566666666666666
258,1,442,283,00:00:08.6
259,1,441,271,00:00:08.633333333333333
260,1,438,261,00:00:08.666666666666666
261,1,438,261,00:00:08.7
262,1,436,253,00:00:08.733333333333333
263,1,433,248,00:00:08.766666666666666
264,1,431,243,00:00:08.8
265,1,431,241,00:00:08.833333333333334
266,1,431,241,00:00:08.866666666666667
267,1,495,356,00:00:08.9
268,1,428,241,00:00:08.933333333333334
269,1,426,243,00:00:08.966666666666667
270,1,426,246,00:00:09.0
271,1,423,251,00:00:09.033333333333333
272,1,423,258,00:00:09.066666666666666
