Frame,Visibility,X,Y,Time,Hit
0,0,0,0,00:00:00.0,0
1,0,0,0,00:00:00.03333333333333333,0
2,0,0,0,00:00:00.06666666666666667,0
3,0,0,0,00:00:00.1,0
4,0,0,0,00:00:00.13333333333333333,0
5,0,0,0,00:00:00.16666666666666666,0
6,0,0,0,00:00:00.2,0
7,0,0,0,00:00:00.23333333333333334,0
8,0,0,0,00:00:00.26666666666666666,0
9,0,0,0,00:00:00.3,0
10,0,0,0,00:00:00.3333333333333333,0
11,0,0,0,00:00:00.36666666666666664,0
12,0,0,0,00:00:00.4,1
13,0,0,0,00:00:00.43333333333333335,0
14,0,0,0,00:00:00.4666666666666667,0
15,0,0,0,00:00:00.5,0
16,0,0,0,00:00:00.5333333333333333,0
17,0,0,0,00:00:00.5666666666666667,0
18,0,0,0,00:00:00.6,0
19,0,0,0,00:00:00.6333333333333333,0
20,0,0,0,00:00:00.6666666666666666,0
21,0,0,0,00:00:00.7,0
22,0,0,0,00:00:00.7333333333333333,0
23,0,0,0,00:00:00.7666666666666666,0
24,0,0,0,00:00:00.8,0
25,0,0,0,00:00:00.8333333333333334,0
26,0,0,0,00:00:00.8666666666666667,0
27,1,641,368,00:00:00.9,0
28,1,637,378,00:00:00.9333333333333333,0
29,1,637,390,00:00:00.9666666666666667,0
30,0,0,0,00:00:01.0,0
31,1,638,402,00:00:01.0333333333333332,0
32,0,0,0,00:00:01.0666666666666667,0
33,0,0,0,00:00:01.1,0
34,0,0,0,00:00:01.1333333333333333,1
35,1,653,416,00:00:01.1666666666666667,0
36,1,653,408,00:00:01.2,0
37,1,656,396,00:00:01.2333333333333334,0
38,0,0,0,00:00:01.2666666666666666,0
39,0,0,0,00:00:01.3,0
40,0,0,0,00:00:01.3333333333333333,0
41,0,0,0,00:00:01.3666666666666667,0
42,0,0,0,00:00:01.4,0
43,0,0,0,00:00:01.4333333333333333,0
44,0,0,0,00:00:01.4666666666666666,0
45,0,0,0,00:00:01.5,0
46,0,0,0,00:00:01.5333333333333332,0
47,0,0,0,00:00:01.5666666666666667,0
48,1,687,343,00:00:01.6,0
49,1,688,343,00:00:01.6333333333333333,0
50,1,690,346,00:00:01.6666666666666667,0
51,0,0,0,00:00:01.7,0
52,0,0,0,00:00:01.7333333333333334,0
53,0,0,0,00:00:01.7666666666666666,0
54,0,0,0,00:00:01.8,0
55,0,0,0,00:00:01.8333333333333333,0
56,0,0,0,00:00:01.8666666666666667,0
57,1,696,388,00:00:01.9,0
58,1,697,397,00:00:01.9333333333333333,0
59,1,698,410,00:00:01.9666666666666666,0
60,1,700,410,00:00:02.0,0
61,1,701,421,00:00:02.033333333333333,0
62,0,0,0,00:00:02.0666666666666664,0
63,1,678,333,00:00:02.1,1
64,1,663,298,00:00:02.1333333333333333,0
65,1,653,266,00:00:02.1666666666666665,0
66,1,653,265,00:00:02.2,0
67,1,643,236,00:00:02.2333333333333334,0
68,1,632,208,00:00:02.2666666666666666,0
69,1,623,185,00:00:02.3,0
70,1,616,165,00:00:02.3333333333333335,0
71,1,606,146,00:00:02.3666666666666667,0
72,1,606,146,00:00:02.4,0
73,1,598,131,00:00:02.433333333333333,0
74,1,590,116,00:00:02.466666666666667,0
75,1,583,103,00:00:02.5,0
76,1,577,93,00:00:02.533333333333333,0
77,1,568,86,00:00:02.5666666666666664,0
78,1,570,86,00:00:02.6,0
79,1,563,81,00:00:02.6333333333333333,0
80,1,557,76,00:00:02.6666666666666665,0
81,1,550,72,00:00:02.7,0
82,1,543,71,00:00:02.7333333333333334,0
83,1,538,71,00:00:02.7666666666666666,0
84,1,537,71,00:00:02.8,0
85,1,532,73,00:00:02.8333333333333335,0
86,1,526,76,00:00:02.8666666666666667,0
87,1,518,81,00:00:02.9,0
88,1,513,86,00:00:02.933333333333333,0
89,1,506,96,00:00:02.966666666666667,0
90,1,506,96,00:00:03.0,0
91,1,501,106,00:00:03.033333333333333,0
92,1,496,116,00:00:03.0666666666666664,0
93,1,490,128,00:00:03.1,0
94,1,483,143,00:00:03.1333333333333333,0
95,1,478,158,00:00:03.1666666666666665,0
96,1,478,157,00:00:03.2,0
97,1,473,173,00:00:03.2333333333333334,0
98,1,468,191,00:00:03.2666666666666666,0
99,1,466,210,00:00:03.3,0
100,1,461,228,00:00:03.3333333333333335,0
101,1,457,248,00:00:03.3666666666666667,0
102,1,458,248,00:00:03.4,0
103,1,453,268,00:00:03.433333333333333,0
104,1,451,292,00:00:03.466666666666667,1
105,1,447,311,00:00:03.5,0
106,0,0,0,00:00:03.533333333333333,0
107,0,0,0,00:00:03.5666666666666664,0
108,0,0,0,00:00:03.6,0
109,0,0,0,00:00:03.6333333333333333,0
110,1,692,355,00:00:03.6666666666666665,0
111,1,713,361,00:00:03.6999999999999997,0
112,1,736,366,00:00:03.7333333333333334,0
113,1,753,373,00:00:03.7666666666666666,0
114,1,752,373,00:00:03.8,0
115,1,766,380,00:00:03.8333333333333335,0
116,1,781,386,00:00:03.8666666666666667,0
117,1,791,393,00:00:03.9,0
118,1,800,402,00:00:03.933333333333333,0
119,1,811,408,00:00:03.966666666666667,0
120,1,810,410,00:00:04.0,0
121,1,818,416,00:00:04.033333333333333,0
122,1,826,422,00:00:04.066666666666666,0
123,1,828,413,00:00:04.1,0
124,1,835,411,00:00:04.133333333333333,0
125,1,836,410,00:00:04.166666666666667,0
126,1,838,408,00:00:04.2,0
127,1,841,407,00:00:04.233333333333333,0
128,1,841,407,00:00:04.266666666666667,0
129,1,845,407,00:00:04.3,0
130,1,846,406,00:00:04.333333333333333,0
131,1,848,405,00:00:04.366666666666666,0
132,1,848,403,00:00:04.4,0
133,1,851,402,00:00:04.433333333333334,0
134,1,852,401,00:00:04.466666666666667,0
135,1,852,402,00:00:04.5,0
136,1,855,400,00:00:04.533333333333333,0
137,1,855,400,00:00:04.566666666666666,0
