Frame,Visibility,X,Y,Time
0,1,457,421,00:00:00.0
1,1,457,421,00:00:00.03333333333333333
2,1,458,421,00:00:00.06666666666666667
3,1,458,421,00:00:00.1
4,1,457,421,00:00:00.13333333333333333
5,1,458,421,00:00:00.16666666666666666
6,1,458,421,00:00:00.2
7,1,457,421,00:00:00.23333333333333334
8,1,458,421,00:00:00.26666666666666666
9,1,460,420,00:00:00.3
10,0,0,0,00:00:00.3333333333333333
11,1,460,420,00:00:00.36666666666666664
12,0,0,0,00:00:00.4
13,0,0,0,00:00:00.43333333333333335
14,0,0,0,00:00:00.4666666666666667
15,1,806,315,00:00:00.5
16,1,771,298,00:00:00.5333333333333333
17,1,743,290,00:00:00.5666666666666667
18,1,741,290,00:00:00.6
19,1,711,282,00:00:00.6333333333333333
20,1,685,280,00:00:00.6666666666666666
21,1,661,276,00:00:00.7
22,1,640,275,00:00:00.7333333333333333
23,1,618,276,00:00:00.7666666666666666
24,1,618,275,00:00:00.8
25,1,597,275,00:00:00.8333333333333334
26,1,582,281,00:00:00.8666666666666667
27,1,568,280,00:00:00.9
28,1,550,286,00:00:00.9333333333333333
29,1,538,291,00:00:00.9666666666666667
30,0,0,0,00:00:01.0
31,0,0,0,00:00:01.0333333333333332
32,0,0,0,00:00:01.0666666666666667
33,1,608,227,00:00:01.1
34,1,647,197,00:00:01.1333333333333333
35,1,685,166,00:00:01.1666666666666667
36,1,686,166,00:00:01.2
37,1,720,141,00:00:01.2333333333333334
38,1,751,121,00:00:01.2666666666666666
39,1,782,101,00:00:01.3
40,1,810,86,00:00:01.3333333333333333
41,1,838,71,00:00:01.3666666666666667
42,1,837,71,00:00:01.4
43,1,863,57,00:00:01.4333333333333333
44,1,888,50,00:00:01.4666666666666666
45,1,911,41,00:00:01.5
46,1,935,35,00:00:01.5333333333333332
47,1,958,30,00:00:01.5666666666666667
48,1,957,28,00:00:01.6
49,1,978,25,00:00:01.6333333333333333
50,1,1000,25,00:00:01.6666666666666667
51,1,1021,23,00:00:01.7
52,1,1041,23,00:00:01.7333333333333334
53,1,1062,28,00:00:01.7666666666666666
54,1,1060,28,00:00:01.8
55,1,1077,32,00:00:01.8333333333333333
56,1,1096,38,00:00:01.8666666666666667
57,1,1112,46,00:00:01.9
58,1,1128,56,00:00:01.9333333333333333
59,1,1145,66,00:00:01.9666666666666666
60,1,1143,66,00:00:02.0
61,1,1160,80,00:00:02.033333333333333
62,1,1173,92,00:00:02.0666666666666664
63,1,1186,106,00:00:02.1
64,1,1203,123,00:00:02.1333333333333333
65,1,1211,140,00:00:02.1666666666666665
66,1,460,420,00:00:02.2
67,1,1221,157,00:00:02.2333333333333334
68,1,1230,176,00:00:02.2666666666666666
69,1,458,420,00:00:02.3
70,1,458,420,00:00:02.3333333333333335
71,1,460,420,00:00:02.3666666666666667
72,1,458,420,00:00:02.4
73,1,458,420,00:00:02.433333333333333
74,1,460,420,00:00:02.466666666666667
75,1,458,421,00:00:02.5
76,1,790,218,00:00:02.533333333333333
77,1,458,418,00:00:02.5666666666666664
78,1,458,420,00:00:02.6
79,1,673,233,00:00:02.6333333333333333
80,1,458,420,00:00:02.6666666666666665
81,1,458,421,00:00:02.7
82,1,460,420,00:00:02.7333333333333334
83,1,458,420,00:00:02.7666666666666666
84,1,488,282,00:00:02.8
85,0,0,0,00:00:02.8333333333333335
86,1,425,316,00:00:02.8666666666666667
87,1,397,330,00:00:02.9
88,1,372,347,00:00:02.933333333333333
89,0,0,0,00:00:02.966666666666667
90,1,350,363,00:00:03.0
91,0,0,0,00:00:03.033333333333333
92,1,460,420,00:00:03.0666666666666664
93,1,363,368,00:00:03.1
94,1,396,348,00:00:03.1333333333333333
95,1,431,325,00:00:03.1666666666666665
96,1,427,327,00:00:03.2
97,1,461,308,00:00:03.2333333333333334
98,1,497,297,00:00:03.2666666666666666
99,1,528,287,00:00:03.3
100,1,560,281,00:00:03.3333333333333335
101,1,587,276,00:00:03.3666666666666667
102,1,586,275,00:00:03.4
103,1,615,275,00:00:03.433333333333333
104,1,637,273,00:00:03.466666666666667
105,1,663,275,00:00:03.5
106,1,688,277,00:00:03.533333333333333
107,1,708,282,00:00:03.5666666666666664
108,1,707,282,00:00:03.6
109,1,730,290,00:00:03.6333333333333333
110,1,750,298,00:00:03.6666666666666665
111,1,771,310,00:00:03.6999999999999997
112,1,787,321,00:00:03.7333333333333334
113,1,805,336,00:00:03.7666666666666666
114,1,805,335,00:00:03.8
115,1,820,348,00:00:03.8333333333333335
116,1,836,362,00:00:03.8666666666666667
117,1,458,422,00:00:03.9
118,1,458,420,00:00:03.933333333333333
119,1,458,420,00:00:03.966666666666667
120,1,458,422,00:00:04.0
121,1,625,283,00:00:04.033333333333333
122,1,460,420,00:00:04.066666666666666
123,1,457,421,00:00:04.1
124,1,441,220,00:00:04.133333333333333
125,1,460,420,00:00:04.166666666666667
126,1,457,421,00:00:04.2
127,1,348,200,00:00:04.233333333333333
128,1,297,191,00:00:04.266666666666667
129,1,458,421,00:00:04.3
130,1,230,185,00:00:04.333333333333333
131,1,460,420,00:00:04.366666666666666
132,1,458,421,00:00:04.4
133,1,156,186,00:00:04.433333333333334
134,1,460,420,00:00:04.466666666666667
135,1,458,421,00:00:04.5
136,1,458,420,00:00:04.533333333333333
137,1,460,420,00:00:04.566666666666666
138,1,458,421,00:00:04.6
139,1,458,420,00:00:04.633333333333333
140,1,460,420,00:00:04.666666666666667
141,1,458,421,00:00:04.7
142,1,458,420,00:00:04.733333333333333
143,1,460,420,00:00:04.766666666666667
144,1,458,421,00:00:04.8
145,1,458,420,00:00:04.833333333333333
146,1,460,420,00:00:04.866666666666666
147,1,458,421,00:00:04.9
148,1,458,420,00:00:04.933333333333334
149,1,460,420,00:00:04.966666666666667
150,1,458,420,00:00:05.0
151,1,765,250,00:00:05.033333333333333
152,1,460,420,00:00:05.066666666666666
153,1,458,420,00:00:05.1
154,1,946,271,00:00:05.133333333333333
155,1,460,420,00:00:05.166666666666667
156,1,458,420,00:00:05.2
157,1,458,420,00:00:05.233333333333333
158,1,460,420,00:00:05.266666666666667
159,1,458,420,00:00:05.3
160,1,788,275,00:00:05.333333333333333
161,1,460,420,00:00:05.366666666666666
162,1,458,420,00:00:05.4
163,1,647,268,00:00:05.433333333333334
164,1,460,420,00:00:05.466666666666667
165,1,458,420,00:00:05.5
166,1,458,420,00:00:05.533333333333333
167,1,451,287,00:00:05.566666666666666
168,1,447,288,00:00:05.6
169,1,460,421,00:00:05.633333333333333
170,1,386,305,00:00:05.666666666666667
171,1,458,420,00:00:05.7
172,1,336,323,00:00:05.733333333333333
173,1,460,420,00:00:05.766666666666667
174,1,458,420,00:00:05.8
175,1,458,420,00:00:05.833333333333333
176,1,460,420,00:00:05.866666666666666
177,1,435,286,00:00:05.9
178,1,476,278,00:00:05.933333333333334
179,1,521,270,00:00:05.966666666666667
180,1,521,270,00:00:06.0
181,1,557,261,00:00:06.033333333333333
182,1,587,256,00:00:06.066666666666666
183,1,617,253,00:00:06.1
184,1,646,253,00:00:06.133333333333333
185,1,668,256,00:00:06.166666666666667
186,1,670,253,00:00:06.2
187,1,693,257,00:00:06.233333333333333
