Frame,Visibility,X,Y,Time
0,0,0,0,00:00:00.0
1,0,0,0,00:00:00.03333333333333333
2,0,0,0,00:00:00.06666666666666667
3,0,0,0,00:00:00.1
4,0,0,0,00:00:00.13333333333333333
5,0,0,0,00:00:00.16666666666666666
6,0,0,0,00:00:00.2
7,0,0,0,00:00:00.23333333333333334
8,0,0,0,00:00:00.26666666666666666
9,0,0,0,00:00:00.3
10,0,0,0,00:00:00.3333333333333333
11,0,0,0,00:00:00.36666666666666664
12,0,0,0,00:00:00.4
13,0,0,0,00:00:00.43333333333333335
14,0,0,0,00:00:00.4666666666666667
15,0,0,0,00:00:00.5
16,0,0,0,00:00:00.5333333333333333
17,1,541,392,00:00:00.5666666666666667
18,1,666,361,00:00:00.6
19,1,662,352,00:00:00.6333333333333333
20,1,661,350,00:00:00.6666666666666666
21,1,661,341,00:00:00.7
22,1,657,340,00:00:00.7333333333333333
23,1,655,340,00:00:00.7666666666666666
24,0,0,0,00:00:00.8
25,0,0,0,00:00:00.8333333333333334
26,0,0,0,00:00:00.8666666666666667
27,1,643,341,00:00:00.9
28,1,645,350,00:00:00.9333333333333333
29,1,641,352,00:00:00.9666666666666667
30,1,638,357,00:00:01.0
31,1,636,366,00:00:01.0333333333333332
32,1,633,375,00:00:01.0666666666666667
33,1,632,373,00:00:01.1
34,1,631,385,00:00:01.1333333333333333
35,1,628,393,00:00:01.1666666666666667
36,1,623,406,00:00:01.2
37,1,622,418,00:00:01.2333333333333334
38,1,620,432,00:00:01.2666666666666666
39,1,620,432,00:00:01.3
40,1,616,447,00:00:01.3333333333333333
41,1,615,462,00:00:01.3666666666666667
42,1,613,478,00:00:01.4
43,0,0,0,00:00:01.4333333333333333
44,0,0,0,00:00:01.4666666666666666
45,0,0,0,00:00:01.5
46,0,0,0,00:00:01.5333333333333332
47,0,0,0,00:00:01.5666666666666667
48,1,668,408,00:00:01.6
49,0,0,0,00:00:01.6333333333333333
50,1,675,405,00:00:01.6666666666666667
51,0,0,0,00:00:01.7
52,0,0,0,00:00:01.7333333333333334
53,0,0,0,00:00:01.7666666666666666
54,1,702,371,00:00:01.8
55,1,711,365,00:00:01.8333333333333333
56,1,720,361,00:00:01.8666666666666667
57,1,718,360,00:00:01.9
58,1,726,356,00:00:01.9333333333333333
59,1,733,355,00:00:01.9666666666666666
60,1,741,355,00:00:02.0
61,1,746,356,00:00:02.033333333333333
62,1,752,358,00:00:02.0666666666666664
63,1,751,358,00:00:02.1
64,1,758,361,00:00:02.1333333333333333
65,1,763,366,00:00:02.1666666666666665
66,1,771,373,00:00:02.2
67,1,776,381,00:00:02.2333333333333334
68,1,781,388,00:00:02.2666666666666666
69,1,781,388,00:00:02.3
70,1,783,398,00:00:02.3333333333333335
71,1,788,408,00:00:02.3666666666666667
72,1,793,420,00:00:02.4
73,1,798,431,00:00:02.433333333333333
74,1,801,443,00:00:02.466666666666667
75,1,801,443,00:00:02.5
76,1,806,458,00:00:02.533333333333333
77,1,808,472,00:00:02.5666666666666664
78,1,810,468,00:00:02.6
79,1,811,465,00:00:02.6333333333333333
80,1,811,461,00:00:02.6666666666666665
81,1,810,461,00:00:02.7
82,1,810,458,00:00:02.7333333333333334
83,1,810,458,00:00:02.7666666666666666
84,1,808,461,00:00:02.8
85,1,810,462,00:00:02.8333333333333335
86,1,811,463,00:00:02.8666666666666667
87,1,810,467,00:00:02.9
88,1,811,461,00:00:02.933333333333333
89,1,813,446,00:00:02.966666666666667
90,1,816,435,00:00:03.0
91,1,817,426,00:00:03.033333333333333
92,1,820,421,00:00:03.0666666666666664
93,1,821,418,00:00:03.1
94,1,823,411,00:00:03.1333333333333333
95,1,825,405,00:00:03.1666666666666665
96,1,825,400,00:00:03.2
97,1,830,397,00:00:03.2333333333333334
98,1,828,393,00:00:03.2666666666666666
